"","doc_id","token","upos","label"
"1","doc1","iowa","NOUN","Irrelavant"
"2","doc1","state","NOUN","Irrelavant"
"3","doc1","university","NOUN","Profession"
"4","doc2","long","ADJ","Irrelavant"
"5","doc2","live","ADJ","Irrelavant"
"6","doc2","britain","NOUN","Irrelavant"
"7","doc2","america","ADP","Irrelavant"
"8","doc2","TRUE","ADJ","Irrelavant"
"9","doc2","patriots","NOUN","Irrelavant"
"10","doc2","best","ADV","Irrelavant"
"11","doc2","west","ADV","Irrelavant"
"12","doc3","intelligent","ADJ","Irrelavant"
"13","doc3","patientsloyal","ADJ","Irrelavant"
"14","doc3","kind","NOUN","Irrelavant"
"15","doc3","love","NOUN","Irrelavant"
"16","doc3","compassion","NOUN","Irrelavant"
"17","doc3","passionate","NOUN","Irrelavant"
"18","doc3","understandingsincerely","ADV","Irrelavant"
"19","doc3","honest","ADJ","Irrelavant"
"20","doc3","big","ADJ","Irrelavant"
"21","doc3","heart","NOUN","Irrelavant"
"22","doc3","easy","ADJ","Irrelavant"
"23","doc3","going","VERB","Irrelavant"
"24","doc3","woman","NOUN","Irrelavant"
"25","doc3","sense","NOUN","Irrelavant"
"26","doc3","humor","NOUN","Irrelavant"
"27","doc4","longlivebigben","ADJ","Irrelavant"
"28","doc4","uffufff","NOUN","Irrelavant"
"29","doc5","im","ADJ","Irrelavant"
"30","doc5","survivor","NOUN","Irrelavant"
"31","doc5","aka","ADV","Irrelavant"
"32","doc5","walking","VERB","Irrelavant"
"33","doc5","miracle","NOUN","Irrelavant"
"34","doc5","aka","ADV","Irrelavant"
"35","doc5","phenomenal","ADJ","Irrelavant"
"36","doc5","human","ADJ","Irrelavant"
"37","doc5","beinguf","NOUN","Irrelavant"
"38","doc6","official","ADJ","Irrelavant"
"39","doc6","twitter","NOUN","Organization"
"40","doc6","page","NOUN","Irrelavant"
"41","doc6","salvador","NOUN","Irrelavant"
"42","doc6","rodriguez","SCONJ","Irrelavant"
"43","doc6","running","VERB","Irrelavant"
"44","doc6","mayor","NOUN","Irrelavant"
"45","doc6","south","ADV","Irrelavant"
"46","doc6","bend","ADV","Irrelavant"
"47","doc6","maintanced","VERB","Irrelavant"
"48","doc6","teamsal","ADJ","Irrelavant"
"49","doc6","personal","ADJ","Irrelavant"
"50","doc6","tweets","NOUN","Irrelavant"
"51","doc6","end","NOUN","Irrelavant"
"52","doc6","s","PART","Irrelavant"
"53","doc6","avoiceforall","NOUN","Irrelavant"
"54","doc7","relapsed","ADJ","Irrelavant"
"55","doc7","media","NOUN","Profession"
"56","doc7","disconnect","NOUN","Irrelavant"
"57","doc8","inastateofconstantconffusion","NOUN","Irrelavant"
"58","doc9","mitochondria","NOUN","Irrelavant"
"59","doc9","trap","NOUN","Irrelavant"
"60","doc9","house","NOUN","Irrelavant"
"61","doc9","cell","NOUN","Irrelavant"
"62","doc10","tmhs","NOUN","Irrelavant"
"63","doc10","class","NOUN","Irrelavant"
"64","doc11","christian","AUX","Irrelavant"
"65","doc11","prolife","VERB","Irrelavant"
"66","doc11","populist","ADJ","Irrelavant"
"67","doc11","nationalist","NOUN","Irrelavant"
"68","doc12","digital","ADJ","Irrelavant"
"69","doc12","strategist","NOUN","Irrelavant"
"70","doc12","communicator","NOUN","Irrelavant"
"71","doc12","bb","NOUN","Irrelavant"
"72","doc12","marketing","NOUN","Profession"
"73","doc12","specialist","NOUN","Profession"
"74","doc12","social","ADJ","Profession"
"75","doc12","seller","NOUN","Irrelavant"
"76","doc12","owner","NOUN","Irrelavant"
"77","doc12","publishared","VERB","Irrelavant"
"78","doc12","food","NOUN","Irrelavant"
"79","doc12","lover","NOUN","Irrelavant"
"80","doc12","needing","VERB","Irrelavant"
"81","doc12","love","NOUN","Irrelavant"
"82","doc12","food","NOUN","Irrelavant"
"83","doc12","much","ADJ","Irrelavant"
"84","doc12","uf","NOUN","Irrelavant"
"85","doc13","dream","NOUN","Irrelavant"
"86","doc13","still","ADV","Irrelavant"
"87","doc13","aliveufufcu","X","Irrelavant"
"88","doc14","enjoy","VERB","Irrelavant"
"89","doc14","time","NOUN","Irrelavant"
"90","doc14","houseboat","NOUN","Irrelavant"
"91","doc14","fishing","VERB","Irrelavant"
"92","doc14","catching","VERB","Irrelavant"
"93","doc14","nascar","NOUN","Irrelavant"
"94","doc14","listening","VERB","Irrelavant"
"95","doc14","music","NOUN","Hobbies"
"96","doc14","viewing","VERB","Irrelavant"
"97","doc14","sunsets","NOUN","Irrelavant"
"98","doc14","water","NOUN","Irrelavant"
"99","doc14","enjoying","VERB","Irrelavant"
"100","doc14","beer","NOUN","Irrelavant"
"101","doc14","two","NUM","Irrelavant"
"102","doc14","friends","NOUN","Irrelavant"
"103","doc15","<U+393C><U+3E33>","PUNCT","Irrelavant"
"104","doc15","grand","NOUN","Irrelavant"
"105","doc15","<U+393C><U+3E34>","PUNCT","Irrelavant"
"106","doc15","reasons","NOUN","Irrelavant"
